<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;10;25/05/20;10:00;1196.8100000;1204.3800000;1196.8100000;1202.7000000;42682566
RTSI;10;25/05/20;10:10;1202.6100000;1202.6100000;1199.6100000;1199.7700000;17725592
RTSI;10;25/05/20;10:20;1199.7700000;1201.7700000;1199.7700000;1200.7700000;12020524
RTSI;10;25/05/20;10:30;1200.8100000;1201.2800000;1198.7400000;1199.8600000;11614790
RTSI;10;25/05/20;10:40;1199.8900000;1202.1400000;1199.6800000;1201.1700000;12962191
RTSI;10;25/05/20;10:50;1201.2100000;1203.9100000;1201.0900000;1203.2200000;13131811
RTSI;10;25/05/20;11:00;1203.1800000;1204.2100000;1202.2700000;1203.4000000;12718349
RTSI;10;25/05/20;11:10;1203.4400000;1203.4800000;1201.8900000;1202.1000000;10218503
RTSI;10;25/05/20;11:20;1202.1000000;1203.0500000;1201.0400000;1201.1900000;10926880
RTSI;10;25/05/20;11:30;1201.2300000;1202.5900000;1200.9000000;1202.4200000;7642376
RTSI;10;25/05/20;11:40;1202.4600000;1207.4400000;1201.8200000;1206.7400000;14714302
RTSI;10;25/05/20;11:50;1206.6900000;1207.8000000;1205.6900000;1206.6600000;13207141
RTSI;10;25/05/20;12:00;1206.7100000;1207.3700000;1206.0000000;1206.6100000;7682796
RTSI;10;25/05/20;12:10;1206.6200000;1207.1600000;1205.3600000;1205.3800000;7536840
RTSI;10;25/05/20;12:20;1205.3800000;1206.3200000;1204.9300000;1204.9900000;5492005
RTSI;10;25/05/20;12:30;1204.9500000;1205.7800000;1204.1600000;1205.2600000;5112596
RTSI;10;25/05/20;12:40;1205.2700000;1206.6400000;1204.5700000;1206.4500000;6368390
RTSI;10;25/05/20;12:50;1206.4200000;1207.6000000;1204.6500000;1207.0500000;11278139
RTSI;10;25/05/20;13:00;1207.0500000;1207.2000000;1203.7600000;1203.8500000;7325600
RTSI;10;25/05/20;13:10;1203.8600000;1204.9100000;1203.0300000;1204.7000000;8915901
RTSI;10;25/05/20;13:20;1204.7400000;1204.8400000;1203.5700000;1203.8700000;7493595
RTSI;10;25/05/20;13:30;1203.9100000;1204.4300000;1203.3600000;1203.6000000;4700119
RTSI;10;25/05/20;13:40;1203.6500000;1204.9100000;1203.6500000;1204.8500000;7572077
RTSI;10;25/05/20;13:50;1204.8200000;1205.7000000;1204.6400000;1204.7800000;7446464
RTSI;10;25/05/20;14:00;1204.8100000;1205.2300000;1202.5400000;1202.7000000;5537478
RTSI;10;25/05/20;14:10;1202.7100000;1204.7000000;1202.6500000;1204.2200000;6028781
RTSI;10;25/05/20;14:20;1204.1900000;1205.4200000;1203.4300000;1204.8100000;6357547
RTSI;10;25/05/20;14:30;1204.8300000;1204.8600000;1202.9000000;1202.9000000;4039179
RTSI;10;25/05/20;14:40;1202.8900000;1204.0300000;1202.6200000;1203.1300000;4872165
RTSI;10;25/05/20;14:50;1203.1500000;1204.0900000;1202.6100000;1203.7200000;6524488
RTSI;10;25/05/20;15:00;1203.7300000;1203.8500000;1202.7600000;1202.8100000;5962544
RTSI;10;25/05/20;15:10;1202.8100000;1203.1600000;1201.9200000;1203.0500000;8294653
RTSI;10;25/05/20;15:20;1203.0300000;1204.7600000;1202.9100000;1204.0000000;9955916
RTSI;10;25/05/20;15:30;1204.0000000;1204.4300000;1203.0500000;1203.2000000;9569029
RTSI;10;25/05/20;15:40;1203.2700000;1204.1100000;1202.7300000;1202.8600000;7308677
RTSI;10;25/05/20;15:50;1202.8700000;1203.9500000;1202.6000000;1203.7600000;6394147
RTSI;10;25/05/20;16:00;1203.7600000;1205.1400000;1203.7600000;1204.3400000;8442920
RTSI;10;25/05/20;16:10;1204.3400000;1205.0400000;1203.7600000;1204.9900000;7435098
RTSI;10;25/05/20;16:20;1204.9900000;1206.1000000;1204.4200000;1205.8700000;7916057
RTSI;10;25/05/20;16:30;1205.8900000;1205.9300000;1204.5500000;1204.7700000;6553245
RTSI;10;25/05/20;16:40;1204.8100000;1205.7000000;1204.6600000;1205.6900000;5837353
RTSI;10;25/05/20;16:50;1205.6900000;1206.2200000;1205.2800000;1205.5700000;7390642
RTSI;10;25/05/20;17:00;1205.5600000;1205.9400000;1204.8100000;1205.1700000;10682752
RTSI;10;25/05/20;17:10;1205.1600000;1205.9900000;1205.0500000;1205.9900000;7977712
RTSI;10;25/05/20;17:20;1205.9100000;1206.5700000;1205.5300000;1206.4700000;5966594
RTSI;10;25/05/20;17:30;1206.4700000;1209.2300000;1206.4300000;1209.2200000;12729823
RTSI;10;25/05/20;17:40;1209.2300000;1209.9200000;1209.0100000;1209.8300000;14895545
RTSI;10;25/05/20;17:50;1209.8900000;1210.6500000;1209.2700000;1210.6400000;13264868
RTSI;10;25/05/20;18:00;1210.6400000;1211.6800000;1210.0000000;1210.3900000;13395631
RTSI;10;25/05/20;18:10;1210.3800000;1211.1200000;1210.2800000;1210.7700000;11571365
RTSI;10;25/05/20;18:20;1210.7200000;1211.3400000;1209.4900000;1211.3400000;13916885
RTSI;10;25/05/20;18:30;1211.4400000;1212.8300000;1211.2200000;1212.4400000;20925817
RTSI;10;25/05/20;18:40;1212.4400000;1212.4400000;1212.4400000;1212.4400000;0
RTSI;10;25/05/20;18:50;1213.4100000;1213.4100000;1213.4100000;1213.4100000;5986519
RTSI;10;26/05/20;10:00;1220.4500000;1231.2300000;1220.4500000;1228.9400000;80576892
RTSI;10;26/05/20;10:10;1228.8500000;1235.2700000;1228.8500000;1235.1700000;56774275
RTSI;10;26/05/20;10:20;1235.2400000;1236.1900000;1231.7300000;1232.6600000;34056179
